DateTime,Entries,UniqueIPs
1444139464,50,50
1444143461,86,86
1444229660,50,50
1444233631,95,95
1444320031,95,95
1444402459,50,50
1444410561,88,88
1444496435,50,50
1444500583,89,89
1444582866,50,50
1444591116,92,92
1444674984,50,50
1444679146,97,97
1444761933,50,50
1444766063,92,92
1444848355,50,50
1444852467,96,96
1444937779,50,50
1444941926,95,95
1445027780,50,50
1445031924,93,93
1445117787,50,50
1445121925,90,90
1445204197,50,50
1445208338,90,90
1445292581,50,50
1445296705,92,92
1445383104,50,50
1445387249,91,91
1445473130,50,50
1445477258,94,94
1445562571,50,50
1445566942,84,84
1445648975,50,50
1445657251,86,86
1445742034,50,50
1445746163,80,80
1445829507,50,50
1445833666,80,80
1445915930,50,50
1445924189,87,87
1446008442,50,50
1446012579,90,90
1446098963,50,50
1446103102,90,90
1446188471,50,50
1446192576,92,92
1446275200,50,50
1446279001,90,90
1446362862,50,50
1446367017,90,90
1446456977,87,87
1446547524,50,50
1446636446,50,50
1446723380,50,50
1446811780,50,50
1447455250,50,50
1447517471,93,93
1447607382,50,50
1447697903,50,50
1447785931,50,50
1447874841,50,50
1447961301,50,50
1448051814,50,50
1448140742,50,50
1448231243,50,50
1448320725,50,50
1448410241,50,50
1448499638,50,50
1448587651,50,50
1448674596,50,50
1448761002,50,50
1448849929,50,50
1448939912,50,50
1449030452,50,50
1449118827,50,50
1449208470,50,50
1449296342,50,50
1449384344,50,50
1449471635,50,50
1449558043,50,50
1449647123,50,50
1449736040,50,50
1449822481,50,50
1449909975,50,50
1450000473,50,50
1450088302,50,50
1450178875,50,50
1450267210,50,50
1450353631,50,50
1450440031,98,98
1450529225,50,50
1450616410,50,50
1450708581,50,50
1450796422,50,50
1450884981,50,50
1450971397,50,50
1451057799,50,50
1451146259,50,50
1451231199,94,94
1451318075,50,50
1451405372,50,50
1451492321,50,50
1451579241,50,50
1451665637,90,90
1451752598,50,50
1451842598,50,50
1451928984,93,93
1452013764,92,92
1452101780,50,50
1452191827,50,50
1452278868,50,50
1452365123,93,93
1452451541,50,50
1452537922,97,97
1452623803,92,92
1452714315,50,50
1452801272,50,50
1452888849,50,50
1452973544,92,92
1453061078,50,50
1453151290,50,50
1453237698,49,50
1453328885,49,50
1453415536,50,50
1453501215,91,91
1453589767,50,50
1453674739,91,92
1453763076,50,50
1453853289,46,50
1453938976,95,99
1454726657,49,50
1454807530,78,84
1454892256,82,90
1454980565,48,50
1455069620,50,50
1455154573,91,93
1455243382,50,50
1455328326,92,98
1455416655,49,50
1455501143,88,90
1455590405,49,50
1455674900,89,91
1455763447,46,50
1455848169,89,97
1455936490,47,50
1456023131,50,50
1456107846,96,99
1456196408,46,50
1456284737,50,50
1456371144,50,50
1456457766,47,50
1456544655,50,50
1456697299,50,50
1456767132,91,91
1456851618,92,92
1456940174,50,50
1457024889,91,91
1457113448,49,50
1457200572,48,50
1457285055,89,92
1457371474,48,50
1457458811,50,50
1457547857,48,50
1457632330,87,91
1457721678,50,50
1457808024,99,99
1457895382,50,50
1457982060,48,50
1458070570,49,50
1458155537,93,95
1458243863,50,50
1458328595,92,92
1458415211,50,50
1458503535,50,50
1458588739,92,93
1458676577,49,50
1458765389,50,50
1458851074,91,93
1458935798,87,89
1459024587,50,50
1459109068,93,95
1459197852,47,50
1459282829,89,96
1459371874,47,50
1459458139,90,94
1459542985,87,91
1459632501,48,50
1459717468,87,92
1459802666,88,89
1459891448,48,50
1459976676,93,96
1460065458,50,50
1460150211,93,94
1460237550,49,50
1460322058,92,96
1460410117,48,50
1460496984,50,50
1460582187,94,94
1460671723,49,50
1460757149,93,94
1460842584,90,90
1460928511,85,86
1461015392,49,50
1461104256,50,50
