DateTime,Entries,UniqueIPs
1445857587,585358,597028
1445875721,585357,597027
1445929582,585368,597038
1445947583,585366,597036
1445972866,585365,597035
1446008787,585364,597034
1446016026,585377,597047
1446019647,585376,597046
1446041195,585375,597045
1446048584,585373,597043
1446102381,585402,597074
1446170848,585401,597073
1446188785,585412,597084
1446228389,585411,597083
1446275186,585422,597094
1446361584,585425,597097
1446462381,585439,597111
1446487591,585437,597109
1446534384,585449,597121
1446631584,585461,597133
1446649589,585456,597128
1446710788,585467,597140
1446750381,585466,597139
1446793584,585472,597145
1446865654,585471,597144
1446894382,585479,597152
1446969980,585485,597158
1447074388,585496,597169
1447085185,585495,597168
1447139186,585509,597182
1447243582,585524,597197
1447311986,585540,597213
1447409181,585561,597235
1447430776,585560,597234
1447484782,585592,597268
1447571189,585612,597289
1447621601,585611,597288
1447661179,585629,597306
1447769194,585639,597317
1447837578,585651,597338
1447877206,585650,597337
1447923970,585678,597365
1447945573,585677,597364
1448017577,585683,597370
1448028380,585682,597369
1448039173,585681,597368
1448096789,585792,597484
1448193986,585827,597520
1448262390,585859,597551
1448352377,585879,597571
1448373977,585878,597570
1448381184,585874,597566
1448438776,585896,597588
1448510793,585895,597587
1448521579,585920,597612
1448622383,585943,597636
1448640379,585942,597635
1448647578,585941,597634
1448694393,585957,597650
1448780779,585975,597669
1448870781,585996,597690
1448953627,586007,597702
1448978784,586007,597701
1449047178,586016,597710
1449072381,586015,597708
1449126405,586024,597719
1449299181,586047,597747
1449371169,586046,597746
1449389177,586058,597759
1449479181,586073,597774
1449497177,586072,597773
1449558380,586102,597803
1449587180,586100,597801
1449659180,586137,597839
1449687980,586135,597837
1449706034,586134,597836
1449731175,586152,597855
1449774382,586151,597854
1449821178,586162,597864
1449918364,586182,597884
1449990374,586197,597900
1450098382,586211,597914
1450145176,586210,597913
1450155969,586209,597912
1450166775,586211,597913
1450181186,586210,597912
1450199187,586209,597911
1450249576,586217,597919
1450260374,586216,597918
1450278397,586215,597917
1450339585,586245,597947
1450411581,586244,597946
1450436776,586272,597974
1450512452,586304,598007
1450605988,586323,598026
1450685178,586335,598038
1450767984,586346,598049
1450822070,586344,598047
1450861584,586354,598057
1450879583,586353,598056
1450883176,586352,598055
1450929979,586351,598054
1450951641,586364,598067
1451034376,586373,598076
1451113702,586380,598083
1451199983,586394,598097
1451293584,586407,598110
1451311580,586405,598108
1451322448,586404,598107
1451372778,586406,598110
1451459164,586421,598126
1451487970,586420,598125
1451545576,586425,598130
1451631962,586426,598131
1451718384,586432,598137
1451808374,586438,598143
1451815574,586437,598142
1451891176,586441,598146
1451905572,586440,598145
1451937984,586438,598143
1451981186,586534,598240
1452063980,586743,598451
1452096486,586743,598450
1452150372,586765,598473
1452236780,586865,598576
1452330372,586887,598604
1452409571,586910,598627
1452488781,586909,598626
1452506782,586960,598680
1452524777,586959,598679
1452531972,586958,598678
1452546487,586957,598677
1452553579,586956,598676
1452585973,586964,598685
1452611184,586963,598684
1452672377,587011,598734
1452683184,587010,598733
1452697581,587009,598732
1452765979,587037,598760
1452848779,587090,598813
1452938783,587123,598846
1453021624,587140,598863
1453060287,587140,598863
1453061053,587140,598863
1453079189,587140,598863
1453082794,587140,598863
1453086408,587140,598863
1453104394,587174,598897
1453111588,587174,598897
1453118785,587174,598897
1453125995,587173,598895
1453143993,587173,598895
1453154809,587173,598895
1453165596,587173,598895
1453187201,587197,598919
1453190800,587196,598918
1453198005,587196,598918
1453201579,587196,598918
1453205190,587196,598918
1453212409,587196,598918
1453216009,587196,598918
1453226804,587196,598918
1453237614,587196,598918
1453241207,587196,598918
1453259199,587196,598918
1453262802,587196,598918
1453270000,587196,598918
1453273606,587221,598943
1453280802,587221,598943
1453284375,587221,598943
1453305989,587221,598943
1453316770,587221,598943
1453327612,587221,598943
1453338394,587221,598943
1453341986,587221,598943
1453349194,587221,598943
1453352795,587221,598943
1453363600,587255,598977
1453370789,587255,598977
1453392398,587255,598977
1453396002,587255,598977
1453399582,587255,598977
1453417579,587254,598976
1453421198,587254,598976
1453424795,587254,598976
1453428400,587254,598976
1453442788,587254,598976
1453449993,587287,599009
1453453597,587287,599009
1453457195,587287,599009
1453468003,587287,599009
1453482401,587279,599001
1453486000,587279,599001
1453493195,587279,599001
1453496801,587279,599001
1453500400,587279,599001
1453507600,587279,599001
1453511200,587279,599001
1453525614,587279,599001
1453529202,587279,599001
1453536407,587323,599045
1453554407,587323,599045
1453558005,587323,599045
1453572395,587323,599045
1453575987,587323,599045
1453583206,587323,599045
1453586794,587323,599045
1453597610,587323,599045
1453608395,587323,599045
1453612012,587323,599045
1453619212,587346,599068
1453630010,587346,599068
1453633596,587346,599068
1453637214,587346,599068
1453644391,587346,599068
1453662398,587346,599068
1453676814,587346,599068
1453683999,587346,599068
1453687594,587346,599068
1453694821,587346,599068
1453719997,587368,599091
1453723591,587368,599091
1453730793,587368,599091
1453745191,587368,599091
1453763188,587367,599090
1453795611,587395,599120
1453878377,587431,599156
1453900007,587430,599155
1453921599,587429,599154
1453968416,587462,599188
1454000809,587461,599187
1454054786,587919,599649
1454141183,587950,599680
1454234778,588076,599806
1454267187,588075,599805
1454310382,588095,599825
1454328399,588094,599824
1454421991,588092,599822
1454439998,588091,599821
1454457995,589007,600752
1454483188,589211,600958
1454501188,589210,600957
1454569592,589220,600967
1454619992,589219,600966
1454634388,589220,600967
1454735200,589219,600966
1454749606,589221,600968
1454929592,589220,600967
1455105989,589255,601002
1455141998,589254,601001
1455181582,589253,601000
1455246392,589252,600999
1455347211,589270,601017
1455437193,589280,601027
1455523605,589282,601029
1455541609,589280,601027
1455548794,589279,601026
1455609979,589280,601027
1455635195,589279,601026
1455822394,589276,601023
1455879983,589275,601022
1456232790,589274,601021
1456391193,589273,601020
1456437994,589272,601019
1456819594,589277,601024
1456877212,589267,601014
1456931209,589266,601013
1456970800,589263,601010
1457471199,589262,601009
1457546799,589261,601008
1457661993,589260,601007
1457960798,589261,601008
1458014802,589260,601007
1458083201,589259,601006
1458187599,589258,601005
1458263201,589257,601004
1458306401,589255,601002
1458659210,589246,600992
1458749224,589245,600991
1458752807,589244,600990
1458767218,589243,600989
1458803201,589246,600992
1458814009,589241,600987
1459217207,589240,600986
1459260423,589239,600985
1459278434,589237,600983
1459300015,589236,600982
1459372004,589235,600981
1459429615,589234,600980
1459458422,589233,600979
1459523223,589230,600976
1459728392,589229,600975
1459800413,589228,600974
1459814796,589227,600973
1459872408,589226,600972
1459894005,589225,600971
1459944409,589224,600970
1460020002,589223,600969
1460034410,589217,600963
1460362012,589216,600962
1460383628,589215,600961
1460398025,589214,600960
1460470015,589213,600959
1460480825,589212,600958
1460545619,589209,600955
1460610427,589208,600954
1460635624,589207,600953
1460729229,589196,600942
1460959617,589195,600941
1460988419,589194,600940
1460999212,589193,600939
